# Logfile created on 2025-11-01 00:06:42 +0100 by logger.rb/v1.5.3
2025-11-01 00:06:42 +0100: Memory Usage (457544K) : via1_drw has 23 polygons
2025-11-01 00:06:42 +0100: Memory Usage (457544K) : backmetal1_drw has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (457544K) : backmetal1_pin has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (457544K) : backmetal1_mask has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (457544K) : backmetal1_filler has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (457808K) : backmetal1_nofill has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (457808K) : backmetal1_slit has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (457808K) : backmetal1_text has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (457808K) : backmetal1_opc has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (457808K) : backmetal1_noqrc has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (457808K) : backmetal1_res has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (458072K) : backmetal1_iprobe has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (458072K) : backmetal1_diffprb has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (458072K) : backpassiv_drw has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (458072K) : res_drw has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (458072K) : sram_drw has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (458336K) : trans_drw has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (458336K) : ind_drw has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (458336K) : ind_pin has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (458336K) : ind_text has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (458336K) : salblock_drw has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (458336K) : via2_drw has 8 polygons
2025-11-01 00:06:42 +0100: Memory Usage (458600K) : metal3_drw has 1 polygons
2025-11-01 00:06:42 +0100: Memory Usage (458600K) : metal3_pin has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (458600K) : metal3_mask has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (458600K) : metal3_filler has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (458600K) : metal3_nofill has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (458600K) : metal3_slit has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (458864K) : metal3_text has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (458864K) : metal3_opc has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (458864K) : metal3_noqrc has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (458864K) : metal3_res has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (458864K) : metal3_iprobe has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (458864K) : metal3_diffprb has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459128K) : nwell_drw has 10 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459128K) : nwell_pin has 3 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459128K) : nbulay_drw has 3 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459128K) : nbulay_pin has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459128K) : nbulay_block has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459128K) : emwind_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459392K) : emwind_opc has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459392K) : deepco_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459392K) : deepco_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459392K) : mim_drw has 3 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459392K) : edgeseal_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459392K) : edgeseal_bound has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459656K) : substrate_drw has 17 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459656K) : substrate_text has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459656K) : dfpad_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459656K) : dfpad_pillar has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459656K) : dfpad_sbump has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459656K) : thickgateox_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459920K) : pldb_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459920K) : pwell_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459920K) : pwell_pin has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459920K) : pwell_block has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459920K) : ic_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (459920K) : via3_drw has 8 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460184K) : metal4_drw has 1 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460184K) : metal4_pin has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460184K) : metal4_mask has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460184K) : metal4_filler has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460184K) : metal4_nofill has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460184K) : metal4_slit has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460448K) : metal4_text has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460448K) : metal4_opc has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460448K) : metal4_noqrc has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460448K) : metal4_res has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460448K) : metal4_iprobe has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460448K) : metal4_diffprb has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460448K) : heattrans_drw has 28 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460448K) : heatres_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460448K) : pempoly_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460448K) : fbe_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460448K) : empoly_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460448K) : ldmos_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460712K) : pbiwind_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460712K) : digisub_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460712K) : nodrc_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460712K) : text_drw has 21 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460712K) : via4_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (460712K) : metal5_drw has 3 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461036K) : metal5_pin has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461036K) : metal5_mask has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461036K) : metal5_filler has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461036K) : metal5_nofill has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461036K) : metal5_slit has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461036K) : metal5_text has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461300K) : metal5_opc has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461300K) : metal5_noqrc has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461300K) : metal5_res has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461300K) : metal5_iprobe has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461300K) : metal5_diffprb has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461300K) : radhard_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461564K) : memcap_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461564K) : varicap_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461564K) : flash_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461564K) : intbondvia_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461564K) : intbondmet_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461828K) : devbondvia_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461828K) : devbondmet_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461828K) : devtrench_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461828K) : redist_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461828K) : graphbot_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (461828K) : graphtop_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462092K) : antvia1_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462092K) : antmetal2_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462092K) : graphcont_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462092K) : siwg_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462092K) : siwg_filler has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462356K) : siwg_nofill has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462356K) : sigrating_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462356K) : singrating_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462356K) : graphpas_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462356K) : emwind3_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462356K) : emwihv3_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462620K) : redbulay_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462620K) : smos_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462620K) : graphpad_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462620K) : polimide_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462620K) : polimide_pin has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462884K) : recog_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462884K) : recog_pin has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462884K) : recog_esd has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462884K) : recog_diode has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462884K) : recog_tsv has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462884K) : recog_iprobe has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462884K) : recog_diffprb has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (462884K) : recog_pillar has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463148K) : recog_sbump has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463148K) : recog_otp has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463148K) : recog_pdiode has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463276K) : recog_mom has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463276K) : recog_pcm has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463276K) : colopen_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463276K) : graphmetal1_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463536K) : graphmetal1_filler has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463536K) : graphmetal1_nofill has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463536K) : graphmetal1_slit has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463536K) : graphmetal1_opc has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463536K) : graphmet1l_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463536K) : graphmet1l_filler has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463800K) : graphmet1l_nofill has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463800K) : graphmet1l_slit has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463800K) : graphmet1l_opc has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463800K) : extblock_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463800K) : nldd_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (463800K) : pldd_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (464064K) : next_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (464064K) : pext_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (464064K) : nexthv_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (464064K) : pexthv_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (464064K) : graphgate_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (464064K) : sinwg_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (464328K) : sinwg_filler has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (464328K) : sinwg_nofill has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (464328K) : mempad_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (464328K) : topvia1_drw has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (464328K) : topmetal1_drw has 3 polygons
2025-11-01 00:06:43 +0100: Memory Usage (464592K) : topmetal1_pin has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (464592K) : topmetal1_mask has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (464592K) : topmetal1_filler has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (464592K) : topmetal1_nofill has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (464592K) : topmetal1_slit has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (464592K) : topmetal1_text has 0 polygons
2025-11-01 00:06:43 +0100: Memory Usage (464856K) : topmetal1_noqrc has 0 polygons
