# Logfile created on 2025-11-26 05:47:18 +0100 by logger.rb/v1.5.3
2025-11-26 05:47:18 +0100: Memory Usage (456716K) : via1_drw has 1 polygons
2025-11-26 05:47:18 +0100: Memory Usage (456716K) : backmetal1_drw has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (456716K) : backmetal1_pin has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (456980K) : backmetal1_mask has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (456980K) : backmetal1_filler has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (456980K) : backmetal1_nofill has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (456980K) : backmetal1_slit has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (456980K) : backmetal1_text has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (456980K) : backmetal1_opc has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (457244K) : backmetal1_noqrc has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (457244K) : backmetal1_res has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (457244K) : backmetal1_iprobe has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (457244K) : backmetal1_diffprb has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (457244K) : backpassiv_drw has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (457244K) : res_drw has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (457508K) : sram_drw has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (457508K) : trans_drw has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (457508K) : ind_drw has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (457508K) : ind_pin has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (457508K) : ind_text has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (457772K) : salblock_drw has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (457772K) : via2_drw has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (457772K) : metal3_drw has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (457772K) : metal3_pin has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (457772K) : metal3_mask has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (457772K) : metal3_filler has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (458036K) : metal3_nofill has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (458036K) : metal3_slit has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (458036K) : metal3_text has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (458036K) : metal3_opc has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (458036K) : metal3_noqrc has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (458300K) : metal3_res has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (458300K) : metal3_iprobe has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (458300K) : metal3_diffprb has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (458300K) : nwell_drw has 7 polygons
2025-11-26 05:47:18 +0100: Memory Usage (458300K) : nwell_pin has 1 polygons
