# Logfile created on 2025-11-25 18:16:56 +0100 by logger.rb/v1.5.3
2025-11-25 18:16:56 +0100: Memory Usage (456772K) : via1_drw has 1 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456772K) : backmetal1_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456772K) : backmetal1_pin has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456772K) : backmetal1_mask has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457036K) : backmetal1_filler has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457036K) : backmetal1_nofill has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457036K) : backmetal1_slit has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457036K) : backmetal1_text has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457036K) : backmetal1_opc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457036K) : backmetal1_noqrc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457300K) : backmetal1_res has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457300K) : backmetal1_iprobe has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457300K) : backmetal1_diffprb has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457300K) : backpassiv_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457300K) : res_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457564K) : sram_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457564K) : trans_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457564K) : ind_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457564K) : ind_pin has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457564K) : ind_text has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457564K) : salblock_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457564K) : via2_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457828K) : metal3_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457828K) : metal3_pin has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457828K) : metal3_mask has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457828K) : metal3_filler has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457828K) : metal3_nofill has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457828K) : metal3_slit has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458092K) : metal3_text has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458092K) : metal3_opc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458092K) : metal3_noqrc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458092K) : metal3_res has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458092K) : metal3_iprobe has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458092K) : metal3_diffprb has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458356K) : nwell_drw has 14 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458356K) : nwell_pin has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458356K) : nbulay_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458356K) : nbulay_pin has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458356K) : nbulay_block has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458356K) : emwind_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458356K) : emwind_opc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458620K) : deepco_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458620K) : deepco_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458620K) : mim_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458620K) : edgeseal_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458620K) : edgeseal_bound has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458620K) : substrate_drw has 8 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458884K) : substrate_text has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458884K) : dfpad_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458884K) : dfpad_pillar has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458884K) : dfpad_sbump has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458884K) : thickgateox_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458884K) : pldb_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458884K) : pwell_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458884K) : pwell_pin has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458884K) : pwell_block has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458884K) : ic_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458884K) : via3_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (458884K) : metal4_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459148K) : metal4_pin has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459148K) : metal4_mask has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459148K) : metal4_filler has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459148K) : metal4_nofill has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459148K) : metal4_slit has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459148K) : metal4_text has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459148K) : metal4_opc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459412K) : metal4_noqrc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (459412K) : metal4_res has 0 polygons
