# Logfile created on 2025-10-25 17:21:07 +0200 by logger.rb/v1.5.3
2025-10-25 17:21:07 +0200: Memory Usage (458364K) : via1_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (458628K) : backmetal1_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (458628K) : backmetal1_pin has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (458628K) : backmetal1_mask has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (458628K) : backmetal1_filler has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (458628K) : backmetal1_nofill has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (458628K) : backmetal1_slit has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (458892K) : backmetal1_text has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (458892K) : backmetal1_opc has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (458892K) : backmetal1_noqrc has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (458892K) : backmetal1_res has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (458892K) : backmetal1_iprobe has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (458892K) : backmetal1_diffprb has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459156K) : backpassiv_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459156K) : res_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459156K) : sram_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459156K) : trans_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459156K) : ind_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459156K) : ind_pin has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459420K) : ind_text has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459420K) : salblock_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459420K) : via2_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459420K) : metal3_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459420K) : metal3_pin has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459684K) : metal3_mask has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459684K) : metal3_filler has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459684K) : metal3_nofill has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459684K) : metal3_slit has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459684K) : metal3_text has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459684K) : metal3_opc has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459948K) : metal3_noqrc has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459948K) : metal3_res has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459948K) : metal3_iprobe has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459948K) : metal3_diffprb has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459948K) : nwell_drw has 2 polygons
2025-10-25 17:21:07 +0200: Memory Usage (459948K) : nwell_pin has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (460212K) : nbulay_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (460212K) : nbulay_pin has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (460212K) : nbulay_block has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (460212K) : emwind_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (460212K) : emwind_opc has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (460476K) : deepco_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (460476K) : deepco_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (460476K) : mim_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (460476K) : edgeseal_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (460476K) : edgeseal_bound has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (460476K) : substrate_drw has 2 polygons
2025-10-25 17:21:07 +0200: Memory Usage (460476K) : substrate_text has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (460476K) : dfpad_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (460476K) : dfpad_pillar has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (460476K) : dfpad_sbump has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (460476K) : thickgateox_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (460476K) : pldb_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (460740K) : pwell_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (460740K) : pwell_pin has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (460740K) : pwell_block has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (460740K) : ic_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (460740K) : via3_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (460740K) : metal4_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461004K) : metal4_pin has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461004K) : metal4_mask has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461004K) : metal4_filler has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461004K) : metal4_nofill has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461004K) : metal4_slit has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461004K) : metal4_text has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461004K) : metal4_opc has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461268K) : metal4_noqrc has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461268K) : metal4_res has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461268K) : metal4_iprobe has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461268K) : metal4_diffprb has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461268K) : heattrans_drw has 4 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461268K) : heatres_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461532K) : pempoly_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461532K) : fbe_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461532K) : empoly_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461532K) : ldmos_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461532K) : pbiwind_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461532K) : digisub_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461796K) : nodrc_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461796K) : text_drw has 4 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461796K) : via4_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461796K) : metal5_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (461796K) : metal5_pin has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462168K) : metal5_mask has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462168K) : metal5_filler has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462168K) : metal5_nofill has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462168K) : metal5_slit has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462168K) : metal5_text has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462432K) : metal5_opc has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462432K) : metal5_noqrc has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462432K) : metal5_res has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462432K) : metal5_iprobe has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462432K) : metal5_diffprb has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462432K) : radhard_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462432K) : memcap_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462432K) : varicap_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462696K) : flash_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462696K) : intbondvia_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462696K) : intbondmet_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462696K) : devbondvia_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462696K) : devbondmet_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462696K) : devtrench_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462960K) : redist_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462960K) : graphbot_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462960K) : graphtop_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462960K) : antvia1_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462960K) : antmetal2_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462960K) : graphcont_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (462960K) : siwg_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (463224K) : siwg_filler has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (463224K) : siwg_nofill has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (463224K) : sigrating_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (463224K) : singrating_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (463224K) : graphpas_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (463488K) : emwind3_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (463488K) : emwihv3_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (463488K) : redbulay_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (463488K) : smos_drw has 0 polygons
2025-10-25 17:21:08 +0200: Memory Usage (463488K) : graphpad_drw has 0 polygons
