# Logfile created on 2025-11-28 23:28:27 +0100 by logger.rb/v1.5.3
2025-11-28 23:28:27 +0100: Memory Usage (457672K) : via1_drw has 16 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457936K) : backmetal1_drw has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457936K) : backmetal1_pin has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457936K) : backmetal1_mask has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457936K) : backmetal1_filler has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457936K) : backmetal1_nofill has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457936K) : backmetal1_slit has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458200K) : backmetal1_text has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458200K) : backmetal1_opc has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458200K) : backmetal1_noqrc has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458200K) : backmetal1_res has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458200K) : backmetal1_iprobe has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458200K) : backmetal1_diffprb has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458464K) : backpassiv_drw has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458464K) : res_drw has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458464K) : sram_drw has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458464K) : trans_drw has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458464K) : ind_drw has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458464K) : ind_pin has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458728K) : ind_text has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458728K) : salblock_drw has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458728K) : via2_drw has 4 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458728K) : metal3_drw has 1 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458728K) : metal3_pin has 0 polygons
